ZIP Code,Case rate(weekly),Test Rate(weekly),Safe(1)/Unsafe(0)
60608,50,2294,0
60613,48,3195,1
60614,83,4624,0
60617,27,1364,0
60618,72,2140,0
60619,41,1801,0
60622,66,3055,1
60623,45,1478,0
60632,57,1321,0
60633,86,1802,0
60634,114,2025,0
60636,44,1578,0
60638,71,1539,0
60639,102,1695,0
60642,74,2564,0
60643,54,3038,1
60646,118,2694,0
60647,55,2474,0
60653,59,2649,0
60654,89,4118,0
60656,76,1820,0
60659,90,2267,0
60660,30,4900,1
60601,68,3946,1
60606,32,5063,1
60611,62,2578,0
60615,50,4506,1
60621,24,1632,0
60625,69,2794,0
60626,50,6354,1
60640,50,3216,1
60645,71,2656,0
60657,53,2859,0
60602,161,2974,0
60607,68,5089,1
60610,85,3629,0
60630,64,1754,0
60631,71,2956,0
60637,32,8090,1
60641,137,2156,0
60644,61,2228,0
60649,28,2420,0
60651,36,1542,0
60604,128,8184,0
60629,85,1345,0
60655,94,2097,0
60605,76,3190,0
60609,73,1802,0
60612,55,4981,1
60616,55,2334,0
60620,63,2236,0
60624,66,2110,0
60628,69,1760,0
60652,66,1963,0
60661,101,3687,0